product,piece,kg,l,ml,price_gel,kcal,fats,carbs,protein,kcal_per_package,fats_per_package,carbs_per_package,protein_per_package
"მაიონეზი ""სლობოდა"" პროვანსალი 67%",0,0.2,0,0,4.2,613,67,2.1,0.5,1226,134,4.2,1
"მაიონეზი ""სლობოდა"" ოლივკოვი 67%",0,0.2,0,0,4.1,613,67,2.1,0.5,1226,134,4.2,1
"მაიონეზი ""სლობოდა"" ოლივკოვი 67%",0,0.4,0,0,8.1,613,67,2.1,0.5,2452,268,8.4,2
"მაიონეზი ""ქართული"" სამარხვო 50%",0,0,0,0.2,1.9,436,46,5.6,0.03,0.872,0.092,0.0112,0.00006
"მაიონეზი ""ქართული"" პროვონსალი 67%",0,0,0,0.2,1.95,615,67,2.5,0.4,1.23,0.134,0.005,0.0008
"მაიონეზი ""სლობოდა"" პროვანსალი 67%",0,0.4,0,0,8.25,613,67,2.1,0.5,2452,268,8.4,2
"მაიონეზი ""სლობოდა"" არაჟნით",0,0.4,0,0,8.7,615,67,2.6,0.4,2460,268,10.4,1.6
"მაიონეზი ""სლობოდა"" სამარხვო 56%",0,0.4,0,0,8.1,516,56,2,1,2064,224,8,4
"მაიონეზი ""გურმე"" პროვანსალი",0,0.35,0,0,4.95,610,67,2.2,0.5,2135,234.5,7.7,1.75
"მაიონეზი ""გურმე"" ოლვიკოვი",0,0.35,0,0,4.95,610,67,2.2,0.5,2135,234.5,7.7,1.75
"კეტჩუპი ""კალვე"" ტომატის",0,0.35,0,0,2.75,95,0.1,23,1,332.5,0.35,80.5,3.5
"კეტჩუპი ""კალვე"" მექსიკური ტაბასკო",0,0.35,0,0,2.75,105,0.2,24.5,1.1,367.5,0.7,85.75,3.85
"კეტჩუპი ""ქართული"" სამწვადე",0,0.2,0,0,1.5,85,0,20,1.2,170,0,40,2.4
"კეტჩუპი ""ქართული"" ცხარე",0,0.2,0,0,1.5,85,0,20,1.2,170,0,40,2.4
"ტყემალი ""მარნეული"" მწვანე",0,0.53,0,0,6.5,53,0,12.5,0.4,280.9,0,66.25,2.12
"ტყემალი ""მარნეული"" ტრადიციული",0,0.53,0,0,6.5,53,0,12.5,0.4,280.9,0,66.25,2.12
"ტყემალი ""ოდა"" მწვანე",0,0.5,0,0,4.95,45,0,11,0.5,225,0,55,2.5
"ტყემალი ""ოდა"" წითელი",0,0.5,0,0,4.95,45,0,11,0.5,225,0,55,2.5
"საწებელი პამიდოვრის ""ოდა""",0,0.5,0,0,4.95,27.6,0,5.8,1.1,138,0,29,5.5
"სოუსი ""ასტორია"" ყველით",0,0.233,0,0,3.95,410,42,8.5,0.5,955.3,97.86,19.805,1.165
"სოუსი ""ჯაკომო"" ჩილი ცხარე",0,0.22,0,0,1.5,30,0.2,15.9,0.6,66,0.44,34.98,1.32
"საწებელი პომიდვრის ""მარნეული"" ცოცხალი",0,0.535,0,0,4.95,28,0,6,1,149.8,0,32.1,5.35
